E:\project\simulator\beta_simulator_windows\training_data\IMG\center_2023_03_18_15_27_57_238.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\left_2023_03_18_15_27_57_238.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\right_2023_03_18_15_27_57_238.jpg,0,0,0,9.821269E-06
E:\project\simulator\beta_simulator_windows\training_data\IMG\center_2023_03_18_15_27_57_305.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\left_2023_03_18_15_27_57_305.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\right_2023_03_18_15_27_57_305.jpg,0,0,0,1.420455E-05
E:\project\simulator\beta_simulator_windows\training_data\IMG\center_2023_03_18_15_27_57_372.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\left_2023_03_18_15_27_57_372.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\right_2023_03_18_15_27_57_372.jpg,0,0,0,5.994047E-06
E:\project\simulator\beta_simulator_windows\training_data\IMG\center_2023_03_18_15_27_57_441.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\left_2023_03_18_15_27_57_441.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\right_2023_03_18_15_27_57_441.jpg,0,0,0,1.866231E-05
E:\project\simulator\beta_simulator_windows\training_data\IMG\center_2023_03_18_15_27_57_510.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\left_2023_03_18_15_27_57_510.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\right_2023_03_18_15_27_57_510.jpg,0,0,0,4.897039E-06
E:\project\simulator\beta_simulator_windows\training_data\IMG\center_2023_03_18_15_27_57_579.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\left_2023_03_18_15_27_57_579.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\right_2023_03_18_15_27_57_579.jpg,0,0,0,2.119487E-05
E:\project\simulator\beta_simulator_windows\training_data\IMG\center_2023_03_18_15_27_57_649.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\left_2023_03_18_15_27_57_649.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\right_2023_03_18_15_27_57_649.jpg,0,0,0,1.00887E-06
E:\project\simulator\beta_simulator_windows\training_data\IMG\center_2023_03_18_15_27_57_720.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\left_2023_03_18_15_27_57_720.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\right_2023_03_18_15_27_57_720.jpg,0,0,0,1.1544E-05
E:\project\simulator\beta_simulator_windows\training_data\IMG\center_2023_03_18_15_27_57_786.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\left_2023_03_18_15_27_57_786.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\right_2023_03_18_15_27_57_786.jpg,0,0,0,1.011882E-05
E:\project\simulator\beta_simulator_windows\training_data\IMG\center_2023_03_18_15_27_57_855.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\left_2023_03_18_15_27_57_855.jpg,E:\project\simulator\beta_simulator_windows\training_data\IMG\right_2023_03_18_15_27_57_855.jpg,0,0,0,1.388757E-05
